Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossQ	Time
1	19.7	7.958852615857231	36.0	10.0	32.6	19.734233966241888	63.0	15.0	19.7	32.6	599	2.395568542480469	1.1123462699371829	4.6775994	-0.090904236	0.07356171131134033	1.737311601638794
2	58.6	33.705193057784136	115.0	20.0	84.8	13.731715470603993	101.0	68.0	58.6	84.8	1199	7.0236824544270835	1.8035115780178044	10.860036	0.9909455	0.1748574956258138	4.140280485153198
3	65.66666666666667	37.45219174716837	122.0	17.0	87.8	26.194656129936597	113.0	40.0	65.66666666666667	87.8	1799	12.7233837890625	2.1562018789920274	17.346899	1.2730163	0.25572972615559897	6.413722515106201
4	183.66666666666666	13.07244796014017	200.0	168.0	157.4	36.15853898329204	200.0	111.0	183.66666666666666	157.4	2399	18.460584309895832	2.082077518638485	23.355307	0.8760307	0.30583780924479165	8.674102067947388
5	157.75	30.678779310787448	200.0	127.0	173.2	21.93991818046788	200.0	149.0	157.75	173.2	2999	23.8421435546875	1.741490658470974	27.737034	6.8099155	0.20577110290527345	11.000767469406128
6	165.66666666666666	48.55466508279182	200.0	97.0	170.0	37.089081951431474	200.0	117.0	165.66666666666666	170.0	3599	28.543544921875	1.5153189123910518	31.31162	17.7301	0.16094558715820312	13.695558547973633
7	176.75	29.701641368786337	200.0	127.0	199.8	0.39999998807907083	200.0	199.0	176.75	199.8	4199	32.471103515625	1.9236110680217102	35.597427	16.075644	0.12540845235188802	16.03236484527588
8	200.0	0.0	200.0	200.0	186.0	13.099618315050252	200.0	165.0	200.0	186.0	4799	36.412451171875	2.2787839839073163	39.42877	16.86751	0.11913838704427084	18.91069221496582
9	182.33333333333334	13.57284896416026	200.0	167.0	158.0	10.972693379476162	172.0	142.0	182.33333333333334	158.0	5399	40.09533203125	2.0722528250272294	43.28998	18.581835	0.08821498870849609	21.27874779701233
10	182.66666666666666	12.684198660955012	200.0	170.0	184.6	20.703622635528667	200.0	148.0	182.66666666666666	184.6	5999	43.478990885416664	1.9230262050102827	46.653492	24.859144	0.10513683319091797	23.648221254348755
11	198.0	2.8284271247461903	200.0	194.0	200.0	0.0	200.0	200.0	198.0	200.0	6599	46.684153645833334	2.1419034161559725	49.754177	35.544853	0.1161822509765625	26.0505313873291
