Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossQ	Time
1	22.846153846153847	12.648175249395585	56.0	10.0	31.8	27.257292781302127	84.0	11.0	22.846153846153847	31.8	599	2.2858590698242187	1.1199462291888902	4.4945364	-0.2528069	0.06927427768707276	3.004774570465088
2	48.666666666666664	37.151341402010644	126.0	10.0	86.0	65.23802572120036	200.0	12.0	48.666666666666664	86.0	1199	7.09748046875	1.7313464196412824	11.579382	2.4965649	0.18090957641601563	5.593840837478638
3	112.0	56.81197056959035	200.0	33.0	197.0	4.0	200.0	190.0	112.0	197.0	1799	12.536236979166667	1.8410912813111118	16.97185	4.4842644	0.27328783671061196	8.679272890090942
4	164.66666666666666	16.336734547349813	185.0	145.0	200.0	0.0	200.0	200.0	164.66666666666666	200.0	2399	18.071007486979166	2.009095326247094	23.02714	5.0400143	0.28585957845052085	12.026793956756592
5	200.0	0.0	200.0	200.0	195.4	9.20000013268512	200.0	177.0	200.0	195.4	2999	23.398976236979166	1.6493696145271748	27.539484	10.681261	0.21798171997070312	15.238483905792236
6	182.5	15.008331019803634	200.0	159.0	179.6	15.001333762317186	200.0	160.0	182.5	179.6	3599	28.229300130208333	1.3883205977119442	31.810978	19.97012	0.1323033905029297	18.69800591468811
7	178.33333333333334	10.402991348833577	193.0	170.0	188.0	10.75174404457249	200.0	172.0	178.33333333333334	188.0	4199	32.543216145833334	1.2023549602168542	35.38241	29.661396	0.13475716908772786	22.118207216262817
8	188.33333333333334	8.339997742040437	200.0	181.0	186.0	12.83744522870497	200.0	168.0	188.33333333333334	186.0	4799	36.480794270833336	1.1031567677938738	39.325188	33.74008	0.13909248352050782	25.26101040840149
9	180.5	8.902246907382429	194.0	172.0	184.4	12.14248698720221	198.0	165.0	180.5	184.4	5399	40.26505859375	1.1049779442704812	42.8482	36.321156	0.1699298095703125	28.562374114990234
10	172.0	6.97614984548545	180.0	163.0	170.8	6.584830867880643	178.0	163.0	172.0	170.8	5999	43.66180338541667	1.1168161168841948	46.405388	38.945972	0.19477849324544272	31.92591667175293
11	142.25	6.299801584177076	149.0	133.0	146.8	7.194442129768906	154.0	133.0	142.25	146.8	6599	46.869114583333335	1.2175849549656048	49.33739	41.141705	0.219403076171875	35.768073320388794
