Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossQ	Time
1	23.92	16.894780074034703	86.0	8.0	36.2	19.405153577118696	62.0	11.0	23.92	36.2	599	2.635670166015625	1.0967876692999061	4.857827	0.030187503	0.07423929214477538	2.8747036457061768
2	37.4375	34.38925840651409	134.0	12.0	123.8	30.022659085992867	160.0	76.0	37.4375	123.8	1199	7.24615478515625	1.7195017295474484	10.691162	1.5947962	0.1946088155110677	5.478621482849121
3	100.5	51.91900743786743	179.0	17.0	138.0	66.9417657370942	200.0	28.0	100.5	138.0	1799	12.738680013020833	1.8822721389182586	16.980122	3.539879	0.2634229787190755	9.302488327026367
4	171.0	14.696938456699069	189.0	153.0	194.6	10.800000113028066	200.0	173.0	171.0	194.6	2399	18.257351888020832	1.9043492914794633	22.329453	6.738063	0.336314442952474	12.73936915397644
5	196.0	4.320493798938574	200.0	190.0	193.0	8.62554346113913	200.0	181.0	196.0	193.0	2999	23.504010416666667	1.760356261291068	27.31346	10.079528	0.2511152140299479	16.07826256752014
6	177.0	16.391054470858997	200.0	163.0	192.0	9.549869109050658	200.0	174.0	177.0	192.0	3599	28.116946614583334	1.4401474432165358	31.506313	21.321177	0.15985369364420574	20.007272243499756
7	186.5	7.566372975210778	199.0	180.0	196.6	4.715930546088157	200.0	188.0	186.5	196.6	4199	32.350084635416664	1.4328765377819688	35.20446	24.755505	0.14462001800537108	23.389232397079468
8	186.66666666666666	9.392668896746347	198.0	175.0	192.8	6.939740233383087	200.0	181.0	186.66666666666666	192.8	4799	36.21469075520833	1.5713292210206407	39.10857	29.69026	0.1494292449951172	26.642536401748657
9	164.75	15.706288549495072	184.0	146.0	177.0	13.386560424545209	200.0	162.0	164.75	177.0	5399	39.887845052083335	1.7937543100267614	43.000267	32.48642	0.17097312927246094	30.515817165374756
10	151.66666666666666	18.354533381989665	171.0	127.0	150.4	8.404760701019764	164.0	142.0	151.66666666666666	150.4	5999	43.2319921875	2.1375493034640356	46.325768	33.99341	0.19038978576660157	33.96860909461975
11	166.25	19.702474463883973	196.0	147.0	145.2	11.46123891900844	166.0	131.0	166.25	145.2	6599	46.41565104166666	2.5255024123718104	49.68497	35.58548	0.243202387491862	38.764838218688965
12	161.0	22.792542640082964	199.0	141.0	138.2	7.3593480459962874	147.0	128.0	161.0	138.2	7199	49.410755208333335	2.9449940422442564	52.7931	36.277744	0.23153350830078126	41.97027134895325
13	160.0	28.083209693100727	198.0	131.0	200.0	0.0	200.0	200.0	160.0	200.0	7799	52.01632161458333	3.573656348057325	55.8382	36.63492	0.254107666015625	46.46878743171692
14	186.0	12.103718436910205	200.0	173.0	130.4	5.817215776438798	137.0	122.0	186.0	130.4	8399	54.4156640625	4.177891261225572	58.825825	36.224274	0.2751338450113932	50.078651666641235
15	143.75	11.166355717063647	156.0	129.0	109.2	2.1354157039981314	112.0	106.0	143.75	109.2	8999	57.0708984375	4.459230828666905	61.769115	35.522896	0.2472075653076172	53.32497501373291
16	83.57142857142857	39.20589217230984	145.0	40.0	134.8	10.28396798704633	147.0	122.0	83.57142857142857	134.8	9599	59.10497395833333	5.044088820713807	64.7995	34.491413	0.29354624430338544	56.57329344749451
17	134.75	20.94486810653149	170.0	116.0	153.2	8.634813470024085	164.0	142.0	134.75	153.2	10199	62.3523046875	5.149245874195237	67.159615	39.86946	0.44858006795247396	59.80365991592407
18	162.75	22.730761095924613	200.0	142.0	188.4	9.068627373610973	200.0	178.0	162.75	188.4	10799	65.62302083333333	4.701739829241405	70.8499	40.903378	0.4800726318359375	63.18300437927246
19	161.25	20.437404434027332	195.0	144.0	169.0	7.563068160475615	176.0	156.0	161.25	169.0	11399	68.36655598958333	4.176232898672958	74.1545	41.29512	0.4668365478515625	66.35153698921204
20	100.83333333333333	69.57829167114554	200.0	14.0	16.2	1.1661903953244395	18.0	15.0	100.83333333333333	16.2	11999	69.22450520833333	5.4062108620934	74.29235	42.5443	0.3976436869303385	69.50411081314087
21	104.4	42.301773474199635	133.0	21.0	14.6	1.6248076691882727	17.0	13.0	104.4	14.6	12599	71.06061197916667	5.763128129178921	76.54812	42.545376	0.4241454823811849	72.52106547355652
22	168.75	31.41158225877837	200.0	133.0	144.0	4.147288270665544	148.0	137.0	168.75	144.0	13199	72.93629557291666	5.862579401558953	77.624435	41.61728	0.5423175557454427	76.21370553970337
23	149.25	7.327175444876422	158.0	142.0	126.4	7.310266919983582	139.0	118.0	149.25	126.4	13799	75.87339192708333	3.5540388602338164	79.13965	42.03512	0.489381103515625	79.78168082237244
24	144.0	13.546217184144066	166.0	131.0	200.0	0.0	200.0	200.0	144.0	200.0	14399	77.29007161458334	3.1070955841026198	79.81114	60.632442	0.27706281026204427	83.58618092536926
25	140.75	26.742989735629784	186.0	121.0	143.4	9.666436905158294	155.0	132.0	140.75	143.4	14999	78.6462890625	3.631624917894307	81.60099	60.722866	0.3682055409749349	86.73950242996216
26	153.5	30.286135441815617	193.0	118.0	113.4	3.136877330985137	118.0	109.0	153.5	113.4	15599	79.89099609375	4.209080740147821	82.52329	55.427193	0.4284313456217448	90.04918241500854
27	115.2	26.072206675644086	158.0	77.0	162.0	6.54217089351845	171.0	151.0	115.2	162.0	16199	80.5205078125	4.94248166410357	84.00606	55.962143	0.563502909342448	93.31246447563171
28	74.66666666666667	54.55883674224247	144.0	13.0	149.2	6.337191614476696	159.0	142.0	74.66666666666667	149.2	16799	80.48276041666666	6.211284253947273	85.00999	50.06178	0.6012510172526042	96.8555052280426
