Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossQ	Time
1	21.333333333333332	14.769839137517652	68.0	9.0	29.8	13.919769586870412	50.0	14.0	21.333333333333332	29.8	599	2.3577592468261717	1.0767854634067557	4.5654435	-0.14465192	0.06111718654632568	3.204603672027588
2	42.357142857142854	39.48527111524806	155.0	10.0	59.2	36.70095579477461	126.0	14.0	42.357142857142854	59.2	1199	6.726648356119791	1.81709608316559	10.640956	0.39959896	0.1506307856241862	6.22917628288269
3	98.33333333333333	66.81483372132519	200.0	12.0	123.6	39.86276507045767	200.0	90.0	98.33333333333333	123.6	1799	12.297325032552083	2.0665138106064243	16.656565	0.9423718	0.21831143697102864	9.983267068862915
4	177.0	17.682382946499793	200.0	157.0	169.2	33.600000871930796	200.0	108.0	177.0	169.2	2399	17.6998779296875	2.3013205455249404	23.148369	0.0909816	0.25372004191080727	15.727451086044312
5	136.4	28.330902545850883	175.0	90.0	101.0	8.390470785361213	112.0	91.0	136.4	101.0	2999	22.585224609375	2.8280507586940513	33.995533	6.0287523	0.1830580774943034	21.356082916259766
6	153.75	46.55306112384018	200.0	100.0	166.4	28.681700462250316	200.0	116.0	153.75	166.4	3599	27.468160807291667	3.4312511858680406	38.796467	8.539529	0.11244906107584636	26.969797611236572
7	141.0	46.36809247747852	181.0	76.0	168.0	30.469657037781044	200.0	120.0	141.0	168.0	4199	31.661637369791666	3.9823757238927118	43.366066	11.636271	0.14600934346516928	33.44125318527222
8	128.4	36.318590818787285	200.0	99.0	101.0	10.256705123966467	115.0	87.0	128.4	101.0	4799	36.46336263020833	4.541271246165549	46.738346	12.5498705	0.24235458374023439	38.474934577941895
9	142.6	21.546229141879444	175.0	111.0	167.8	33.10830652476052	200.0	126.0	142.6	167.8	5399	41.160885416666666	4.736244817781101	53.846115	14.565967	0.24598353068033854	44.34290671348572
10	134.25	14.905955185763842	160.0	124.0	117.8	6.615133978884612	130.0	111.0	134.25	117.8	5999	46.58270182291667	5.062193438506095	58.88164	17.041538	0.33401573181152344	50.40081787109375
11	135.2	8.423776092828522	150.0	127.0	138.4	7.5524827929556135	152.0	131.0	135.2	138.4	6599	52.3823046875	3.412862346261749	61.22941	20.767977	0.4224712117513021	58.13200259208679
12	128.0	8.12403840463596	140.0	118.0	33.2	41.4120750619611	116.0	11.0	128.0	33.2	7199	56.5116015625	3.155954761356564	62.622124	49.031345	0.4750328572591146	62.857399702072144
13	125.2	10.571660690999545	145.0	116.0	111.8	53.07880896306454	169.0	11.0	125.2	111.8	7799	59.869967447916665	2.8060841172204136	65.14858	52.49979	0.4582233174641927	67.84657001495361
14	52.63636363636363	51.800792349810465	129.0	12.0	51.6	48.53699861317138	114.0	12.0	52.63636363636363	51.6	8399	62.27115234375	2.3028631550609995	66.6683	55.587696	0.5943754069010416	73.56898021697998
15	122.2	9.765244680094266	141.0	113.0	140.8	7.98498575819605	149.0	126.0	122.2	140.8	8999	64.61720052083334	2.3996828505456977	69.12221	56.343296	0.7705742390950521	79.66896224021912
16	135.4	5.003998492758301	143.0	129.0	146.8	13.044538993716634	171.0	136.0	135.4	146.8	9599	66.30192708333334	3.10436455080954	70.65619	52.411053	0.5841617329915365	85.1493752002716
17	125.75	9.364160400164021	141.0	116.0	121.6	7.116178921402009	127.0	108.0	125.75	121.6	10199	67.72907552083333	4.1959286287175654	72.6	48.890465	0.6730471801757812	90.55600690841675
18	125.4	4.176122713178738	132.0	120.0	133.4	9.478396939615996	151.0	124.0	125.4	133.4	10799	69.01031901041667	5.5806495221023935	73.9347	43.987446	0.3824116516113281	95.63596081733704
19	125.4	8.138796129736035	138.0	114.0	120.6	5.535341221768198	130.0	115.0	125.4	120.6	11399	69.43815755208334	7.606156275100453	75.510666	37.91246	0.3517322794596354	100.7673032283783
20	128.0	7.771743691090179	138.0	119.0	160.8	9.08625321893429	174.0	146.0	128.0	160.8	11999	69.69821614583333	9.926808320779646	77.089264	30.31466	0.31645210266113283	106.21134638786316
21	46.76923076923077	50.76363673835678	137.0	10.0	133.6	9.43610069562055	149.0	122.0	46.76923076923077	133.6	12599	69.57848958333334	12.538697911366237	78.68941	21.400007	0.3380349477132161	111.46638703346252
22	135.25	6.378675411086537	144.0	126.0	132.2	8.207314034573637	138.0	117.0	135.25	132.2	13199	68.97301432291667	15.15657946377304	80.069374	12.597007	0.5142496744791667	116.59098982810974
23	127.4	9.562426597961746	139.0	118.0	140.6	6.437390965399434	152.0	134.0	127.4	140.6	13799	69.00092447916667	17.14445063278494	81.40238	1.4124299	0.4102489217122396	121.91088819503784
24	134.0	6.2048368229954285	141.0	126.0	138.8	3.9698867251285095	144.0	132.0	134.0	138.8	14399	68.31986979166666	19.454192992771507	82.66581	-4.22826	0.37022430419921876	127.27145409584045
25	133.2	4.3081319165447525	139.0	127.0	141.2	4.70744098320431	150.0	136.0	133.2	141.2	14999	67.02848307291667	21.75583015730113	83.71751	-5.8815503	0.0681212615966797	132.52647280693054
26	149.25	9.256754290786809	162.0	136.0	141.2	3.0594115585309303	146.0	137.0	149.25	141.2	15599	65.41037760416667	24.224792525771335	84.46826	-7.9303865	0.045662218729654945	138.1354534626007
27	146.75	8.898735865278843	160.0	135.0	144.6	4.9638695506154615	150.0	136.0	146.75	144.6	16199	63.865384114583335	26.1944809708712	85.81471	-7.9604783	0.04539271036783854	143.3535704612732
28	158.0	7.648529270389178	170.0	150.0	168.2	5.114684502351416	176.0	161.0	158.0	168.2	16799	62.58162760416667	27.500134469368206	86.756134	-8.212239	0.043260930379231774	149.03679132461548
29	183.66666666666666	7.5865378962328105	194.0	176.0	196.4	4.715930546088157	199.0	187.0	183.66666666666666	196.4	17399	62.0062109375	27.210741024149513	87.09471	-7.6990614	0.03223152796427409	154.5735423564911
30	183.66666666666666	11.556624175650933	200.0	175.0	182.8	9.195651345179925	200.0	173.0	183.66666666666666	182.8	17999	62.219264322916665	25.24136197130945	87.76682	-4.465432	0.04327312151590983	160.00147342681885
31	191.33333333333334	6.599663034179362	200.0	184.0	200.0	0.0	200.0	200.0	191.33333333333334	200.0	18599	62.813854166666665	23.568017700547777	88.62213	1.3123646	0.08180662790934244	165.637549161911
