Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossQ	Time
1	22.68	11.678082352076261	55.0	10.0	10.2	0.39999998807907083	11.0	10.0	22.68	10.2	599	2.7607321166992187	1.3090143330651203	6.031649	-0.56003886	0.2088779067993164	4.896343231201172
2	42.07142857142857	26.754076740000233	108.0	10.0	46.6	6.280127338649148	53.0	37.0	42.07142857142857	46.6	1199	7.823839518229167	1.8289778882096677	12.015179	1.7715867	0.30498819986979164	9.196890115737915
3	75.625	53.851502996666675	200.0	29.0	20.6	1.1999999841054279	22.0	19.0	75.625	20.6	1799	13.420476888020833	1.7646745690453571	17.263197	4.410223	0.3885511016845703	13.602890968322754
4	101.0	15.28397853963424	124.0	84.0	124.2	17.045820888582192	147.0	99.0	101.0	124.2	2399	18.445911458333335	1.7175399386201209	22.217295	5.7392054	0.4593856302897135	17.50947594642639
5	101.14285714285714	42.602577758821454	200.0	66.0	70.8	7.440429931031791	84.0	64.0	101.14285714285714	70.8	2999	23.196739908854166	1.8345977491993135	27.836668	5.741113	0.46969401041666664	20.868183612823486
6	98.16666666666667	30.590938221997757	142.0	39.0	27.4	4.715930384308958	36.0	22.0	98.16666666666667	27.4	3599	27.706282552083334	1.9887341392359361	32.414013	6.784038	0.5207186889648437	25.328081369400024
7	118.0	15.297058540778355	144.0	103.0	159.4	10.632026628746516	172.0	147.0	118.0	159.4	4199	32.43350260416667	2.3601509485624006	38.070942	9.666432	0.6027019246419271	29.780898094177246
8	134.0	41.515057509294145	198.0	83.0	17.2	0.9797959165800665	18.0	16.0	134.0	17.2	4799	37.600338541666666	2.9872135551745793	43.44473	5.916619	0.6289869181315104	33.24164700508118
9	90.0	10.22601723895616	113.0	80.0	83.8	4.11825213049803	92.0	81.0	90.0	83.8	5399	42.504931640625	3.917177216280877	49.49908	10.077801	0.7741295369466146	36.821589946746826
10	95.28571428571429	13.624706900107586	120.0	74.0	128.2	13.644046231180608	155.0	119.0	95.28571428571429	128.2	5999	46.12306966145833	5.239830800981713	52.39057	7.454791	0.7200336710611979	40.67202877998352
11	150.33333333333334	41.68399769770769	200.0	98.0	91.2	7.6524508271604965	103.0	79.0	150.33333333333334	91.2	6599	48.20830078125	6.91362869401807	56.103176	9.937648	0.7066570027669271	44.78759527206421
12	148.8	29.86904687025517	200.0	112.0	44.8	2.9257478719724914	48.0	40.0	148.8	44.8	7199	50.857464192708335	8.418879144023073	58.724552	4.2467318	0.6861713663736979	48.021979093551636
13	116.4	11.499565315324151	131.0	101.0	109.4	6.216108303545415	119.0	100.0	116.4	109.4	7799	51.917682291666665	9.492701417843781	60.806347	0.8692877	0.7120359293619791	51.38150954246521
14	128.75	17.166464400102893	148.0	104.0	134.0	3.1622776601683795	137.0	128.0	128.75	134.0	8399	54.86853515625	10.356597006859927	64.7026	0.41764182	0.6891830444335938	54.75999045372009
15	134.0	13.520355024924458	152.0	116.0	138.4	11.464728092474544	154.0	125.0	134.0	138.4	8999	57.20828125	10.886625730301684	67.94032	-0.05362025	0.7377360534667968	59.23628234863281
