Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	25.565217391304348	9.907511642160106	55.0	12.0	25.565217391304348	0.08121114095052083	0.010281221851592484	0.11159682	0.03980252	600	-10.265028953552246	259.0328063964844	-0.10151290893554688	-150.16690063476562	0.6867411732673645	0.015896903350949287	0.19500000774860382	14.0	2.6653857231140137
1	29.63157894736842	11.141248390877784	50.0	13.0	29.63157894736842	7.966962076822917	0.23273178852100027	8.24943	6.682785	1200	-6.348923683166504	157.442626953125	-0.11788749694824219	-59.23310852050781	0.6689949631690979	0.015170828439295292	0.20666667819023132	14.0	4.305922746658325
2	28.8	16.185178706632342	74.0	12.0	28.8	13.439729817708333	0.3496305786749728	13.799034	11.275718	1800	-2.9096055030822754	157.81771850585938	-0.06243562698364258	-21.893630981445312	0.6405234932899475	0.015288391150534153	0.10166666656732559	20.0	5.8413612842559814
3	56.8	19.10915972384873	96.0	32.0	56.8	15.679431966145833	2.2019012558752493	16.810122	-3.3299315	2400	-7.400998115539551	299.5542907714844	-0.15224409103393555	-115.0614013671875	0.6270611882209778	0.01530094537883997	0.16833333671092987	42.0	7.358307361602783
4	73.28571428571429	44.7491894379903	160.0	23.0	73.28571428571429	21.618528645833333	5.220812342003557	23.88612	-8.359369	3000	-8.688850402832031	625.171142578125	-0.12212657928466797	-213.484375	0.6034961342811584	0.01621192879974842	0.11833333969116211	13.0	8.786489725112915
5	102.4	44.5807137567637	188.0	59.0	102.4	29.547027994791666	7.4279525554937855	32.50306	-12.704714	3600	-7.369908809661865	619.49951171875	-0.11676025390625	-161.14102172851562	0.5833978652954102	0.001138887950219214	0.0833333358168602	79.0	10.488975286483765
6	122.75	59.63797028739325	187.0	34.0	122.75	34.81642252604167	9.067886330341818	38.351025	-4.262427	4200	-7.397394180297852	599.4490966796875	-0.12195158004760742	-175.78976440429688	0.5780923366546631	0.0015585168730467558	0.07999999821186066	79.0	12.502593517303467
7	134.75	70.16899243968093	200.0	33.0	134.75	39.435589192708335	15.36655255742159	45.461674	-30.894915	4800	-5.735955715179443	490.0740661621094	-0.15262842178344727	-187.47561645507812	0.5831078290939331	0.017835436388850212	0.3933333456516266	7.0	13.894872426986694
8	119.0	20.69782597279241	149.0	90.0	119.0	47.44180338541667	8.032300514952114	51.616222	20.516876	5400	-0.22367390990257263	337.29193115234375	-0.14765667915344238	-176.41114807128906	0.5809023976325989	0.006904070731252432	0.038333334028720856	79.0	16.082027196884155
9	141.5	29.811910371527684	175.0	97.0	141.5	39.611735026041664	14.910120479336623	52.902954	1.1298316	6000	-4.035329341888428	295.4672546386719	-0.10241460800170898	-94.09120178222656	0.5748255252838135	0.009797678329050541	0.07000000029802322	79.0	18.031498432159424
