Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	28.047619047619047	19.211791592610947	90.0	9.0	28.047619047619047	-0.10884483337402344	0.026924594577215178	-0.016509902	-0.18853372	600	8.18676471710205	495.1355895996094	0.0	-225.11007690429688	0.6894642114639282	6.95387525340152e-10	2.471940040588379
1	27.227272727272727	14.103293105528742	71.0	11.0	27.227272727272727	8.1221484375	0.32990364594639443	8.501421	6.2879057	1200	3.892324209213257	168.63693237304688	0.0	-54.444908142089844	0.6888346076011658	-2.98023217215615e-10	4.134007215499878
2	24.375	10.020032019243585	49.0	9.0	24.375	12.32926025390625	1.8068546466699273	13.498198	0.5492386	1800	0.96027672290802	65.11557006835938	0.0	-5.616779327392578	0.687936544418335	4.967053851556713e-11	5.74170994758606
3	24.208333333333332	12.264376761060449	48.0	9.0	24.208333333333332	12.6271630859375	3.4779911624444457	14.791649	-4.6442814	2400	1.033380150794983	70.2698974609375	0.0	-5.1684417724609375	0.6865414381027222	-1.4901161415892261e-09	7.33947229385376
4	27.761904761904763	15.814113001204998	76.0	14.0	27.761904761904763	14.428932291666667	2.952653456620982	16.107395	-6.8646817	3000	1.2345024347305298	133.9247283935547	0.0	-6.314567565917969	0.6857458353042603	-2.9802322831784522e-09	8.952162027359009
5	25.47826086956522	12.638345746304182	54.0	10.0	25.47826086956522	16.01609375	3.6568291029991635	17.651077	-8.468915	3600	-0.31973230838775635	86.78791809082031	0.0	-4.2514801025390625	0.6844273209571838	-1.8378099042593021e-09	10.50301718711853
6	27.09090909090909	16.387103952767458	77.0	9.0	27.09090909090909	14.720895182291667	4.287850371373944	16.934673	-7.666614	4200	0.8634823560714722	122.43437957763672	0.0	-4.3587493896484375	0.683429479598999	-6.95387525340152e-10	12.104736328125
7	27.428571428571427	8.947313894167284	51.0	13.0	27.428571428571427	14.947210286458333	5.040546212444805	18.368849	-0.89993453	4800	0.18424150347709656	68.75418090820312	0.0	-4.461753845214844	0.6833673119544983	-1.9868215406226852e-10	13.718448400497437
8	28.35	16.617085022603618	91.0	14.0	28.35	14.520872395833333	4.344848482206639	17.396133	-0.87973154	5400	1.2239669561386108	137.70687866210938	0.0	-13.761512756347656	0.6826579570770264	-1.2417634698280722e-09	15.317374467849731
9	32.5	18.848076824970764	85.0	15.0	32.5	17.4734375	5.344629861774807	20.436321	-3.8177435	6000	0.596949577331543	144.0977325439453	0.0	-3.184967041015625	0.6813660860061646	-1.0927518889758403e-09	16.978933811187744
10	27.80952380952381	17.919447112604466	84.0	10.0	27.80952380952381	19.44333333333333	5.187762920043989	21.601492	-0.7010251	6600	-0.8484551310539246	161.9936981201172	0.0	-8.822647094726562	0.6790379285812378	2.086162576020456e-09	18.65844488143921
11	27.38095238095238	17.635128142592407	75.0	11.0	27.38095238095238	16.545595703125	5.04815321790636	19.657627	-1.8791271	7200	0.3929338753223419	134.40296936035156	0.0	-8.339439392089844	0.6798413991928101	-1.7881394143159923e-09	20.375366926193237
12	42.69230769230769	26.125097763895102	116.0	14.0	42.69230769230769	15.399153645833334	7.426580745033343	21.084654	-8.163217	7800	3.6401474475860596	283.6841735839844	0.0	-89.69688415527344	0.6809475421905518	-2.9305617932351424e-09	22.055877208709717
13	27.0	10.950300950617335	56.0	11.0	27.0	23.739241536458334	7.157981049732762	28.346123	0.7437275	8400	-4.108747482299805	155.2078399658203	0.0	-83.6229019165039	0.6776508688926697	1.5894572324981482e-09	23.832180738449097
14	39.46666666666667	23.567963281309794	93.0	14.0	39.46666666666667	16.24072265625	5.100775127472458	21.358604	1.124501	9000	2.5776455402374268	227.66224670410156	0.0	-55.27906799316406	0.6765701770782471	-1.887480394202612e-09	25.42254948616028
15	26.90909090909091	13.970453170522877	63.0	10.0	26.90909090909091	21.627198893229167	5.996621227477465	25.778305	0.2947464	9600	-2.9042000770568848	144.1780242919922	0.0	-55.523658752441406	0.672485888004303	-1.043081288010228e-09	26.99988079071045
16	29.0	11.545561917897285	53.0	13.0	29.0	17.186368815104167	3.507397896804755	21.49665	1.1214888	10200	-0.3952724039554596	75.37422943115234	0.0	-16.623252868652344	0.6764808893203735	-2.8808913032918326e-09	28.560484409332275
17	37.5	14.313455208299636	67.0	15.0	37.5	17.0623583984375	4.427951691797894	20.628683	1.14767	10800	1.3928536176681519	88.90228271484375	0.0	-16.323745727539062	0.6741762161254883	2.086162576020456e-09	30.164198398590088
18	28.57894736842105	18.804579279830946	86.0	13.0	28.57894736842105	17.328445638020835	6.410680886386666	23.357471	-0.37596583	11400	0.03494122996926308	147.40841674804688	0.0	-27.861892700195312	0.6689885258674622	-2.6822091214739885e-09	31.74688982963562
19	33.94117647058823	16.4297817934205	71.0	13.0	33.94117647058823	17.633935546875	6.3718563531687265	24.564491	1.8860675	12000	0.34592580795288086	78.15534973144531	0.0	-11.595718383789062	0.6732293367385864	-4.967053990334591e-10	33.30472493171692
20	38.53333333333333	18.358891394339874	81.0	17.0	38.53333333333333	19.010729166666668	6.920528226768532	25.566652	2.394238	12600	0.663261353969574	113.52130126953125	0.0	-15.95343017578125	0.6670515537261963	2.33451524778161e-09	34.86156630516052
21	32.11764705882353	16.167805061180182	82.0	13.0	32.11764705882353	18.4795947265625	7.369922554785883	27.014729	2.2945125	13200	-0.23907916247844696	116.92191314697266	0.0	-28.90583038330078	0.6668748259544373	-4.470348535789981e-10	36.45259118080139
22	32.55555555555556	15.731151571779655	80.0	13.0	32.55555555555556	17.962947591145834	7.805431802597471	27.435268	1.8845268	13800	-0.1376354694366455	67.893310546875	0.0	-9.762657165527344	0.6713476777076721	-1.4901161415892261e-09	38.06579375267029
23	38.57142857142857	21.239163137497908	87.0	15.0	38.57142857142857	18.9380859375	7.499131460125899	27.766586	2.414041	14400	1.326233148574829	166.77525329589844	0.0	-38.5728759765625	0.6640211939811707	-2.6325386315306787e-09	39.65354776382446
24	28.476190476190474	10.957141696084134	59.0	13.0	28.476190476190474	21.782018229166667	9.033470027025421	29.964436	1.015605	15000	-3.344367027282715	93.40910339355469	0.0	-58.094173431396484	0.6617763042449951	-2.086162576020456e-09	41.25729417800903
25	42.42857142857143	13.875539172680435	61.0	19.0	42.42857142857143	15.74970703125	7.215563420049054	25.771154	1.1321424	15600	2.1233973503112793	92.48233032226562	0.0	-31.598552703857422	0.6642633080482483	6.45716979885691e-10	42.81612706184387
26	36.375	17.779464980701754	76.0	11.0	36.375	21.138408203125	7.535538198264275	28.597754	4.2462206	16200	-0.7438206076622009	105.1278305053711	0.0	-11.632362365722656	0.6516348719596863	1.043081288010228e-09	44.402024030685425
27	29.75	15.683988650850267	72.0	11.0	29.75	18.988518880208332	8.558422843170346	28.143797	1.1349723	16800	-1.0589327812194824	70.84766387939453	0.0	-10.691791534423828	0.6509495973587036	-2.2848447578383002e-09	45.989781618118286
28	35.9375	20.091878800898634	97.0	11.0	35.9375	16.18951171875	8.039353078243714	25.88157	1.3530449	17400	1.1658657789230347	140.91250610351562	0.0	-39.496665954589844	0.652465283870697	-8.443991617035351e-10	47.6274037361145
29	37.4	22.957351196475898	101.0	12.0	37.4	20.852727864583333	8.23818124395994	29.42471	2.0287533	18000	-0.041693877428770065	143.96224975585938	0.0	-23.760177612304688	0.6556127667427063	1.5397867425548384e-09	49.26203680038452
30	31.263157894736842	13.218177926373082	61.0	15.0	31.263157894736842	21.048603515625	9.723617484206516	30.409668	1.698024	18600	-2.344789981842041	70.53519439697266	0.0	-25.07607650756836	0.6499121189117432	-8.940697071579962e-10	50.85728335380554
31	41.714285714285715	18.292965949692444	100.0	21.0	41.714285714285715	15.4260986328125	8.396920550986732	27.343697	-1.1785455	19200	1.929986596107483	151.9213409423828	0.0	-55.113975524902344	0.6558082103729248	-2.781550101360608e-09	52.489919662475586
32	52.63636363636363	39.275880834691776	164.0	20.0	52.63636363636363	23.1077490234375	8.25293587281722	30.981983	2.7022743	19800	1.85591721534729	372.11199951171875	0.0	-112.17059326171875	0.6566688418388367	3.3279261568708307e-09	54.11414909362793
33	38.6	18.110035129613454	88.0	17.0	38.6	24.868707682291667	12.871891817379966	38.18173	0.8892631	20400	-2.643852710723877	131.9194793701172	0.0	-45.00413513183594	0.6534588932991028	1.9868215961338365e-09	55.73883104324341
