Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossQ	Time
1	23.666666666666668	18.209974378144484	111.0	9.0	32.2	17.057549934431528	63.0	16.0	23.666666666666668	32.2	999	2.395158538818359	1.094618481924949	4.73182	-0.063239455	0.06498281002044677	2.3383231163024902
2	34.851851851851855	28.398882509313246	127.0	11.0	135.8	52.09760221209802	200.0	41.0	34.851851851851855	135.8	1999	8.86474609375	2.8327251951521877	15.749457	2.2889428	0.23625234985351562	6.233377933502197
3	147.57142857142858	43.83689393751895	200.0	58.0	178.2	23.224125597439077	200.0	139.0	147.57142857142858	178.2	2999	17.914525390625	3.093390446278161	25.892294	1.5376042	0.3773276062011719	11.101441383361816
4	160.16666666666666	32.46750554039569	200.0	116.0	75.4	30.800000634131486	94.0	14.0	160.16666666666666	75.4	3999	26.078873046875	3.3930196037232085	34.749958	0.05245161	0.40271826171875	15.453308820724487
5	128.375	53.49050733541419	200.0	17.0	93.0	15.697133496278868	114.0	72.0	128.375	93.0	4999	32.937890625	4.661056663327534	41.700584	-4.128738	0.4354837646484375	19.715530157089233
6	103.8	4.512205736704784	110.0	94.0	119.2	6.615133978884612	132.0	114.0	103.8	119.2	5999	38.4974453125	8.376716242060489	47.49212	-10.217672	0.3956449890136719	25.397660732269287
7	117.375	24.713040585893108	173.0	85.0	126.0	6.260990336999411	131.0	115.0	117.375	126.0	6999	42.4091640625	11.593707884020539	52.17217	-15.758331	0.32383721923828124	30.472205638885498
8	133.57142857142858	34.66104203311592	193.0	101.0	200.0	0.0	200.0	200.0	133.57142857142858	200.0	7999	46.114953125	12.634098825203166	58.138596	-21.330458	0.39373828125	35.557854413986206
9	186.16666666666666	21.51291759321352	200.0	143.0	105.4	45.230963278074235	130.0	15.0	186.16666666666666	105.4	8999	50.65237890625	13.280830875739666	63.407375	-23.063559	0.3693359680175781	40.70263481140137
10	189.4	14.691493805409134	200.0	162.0	200.0	0.0	200.0	200.0	189.4	200.0	9999	54.21698046875	14.378472950038887	66.99978	-32.853767	0.3728935241699219	46.28538727760315
11	158.5	30.220026472523152	200.0	124.0	200.0	0.0	200.0	200.0	158.5	200.0	10999	56.7301640625	16.36578653013658	72.045166	-38.91852	0.34320501708984374	52.10803556442261
12	191.0	15.620499351813308	200.0	160.0	192.4	7.81280975948414	200.0	180.0	191.0	192.4	11999	59.67839453125	18.395571817695693	75.26896	-26.398052	0.322583984375	57.63520264625549
13	200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	12999	62.3783125	19.729890078254364	79.47422	-26.918888	0.29415963745117185	62.38373041152954
14	200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	13999	65.0566640625	20.728024507897516	81.9464	-43.921722	0.28642742919921876	67.18462896347046
15	200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	14999	67.377265625	21.566903173613035	83.88447	-42.137802	0.27605029296875	72.44773387908936
16	200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	15999	69.97096875	21.875978549541504	86.27186	-42.91011	0.28133795166015624	77.39337277412415
17	173.0	60.37383539249432	200.0	38.0	166.6	66.79999883046406	200.0	33.0	173.0	166.6	16999	72.1180625	22.71536374351069	89.30425	-25.541798	0.22954583740234374	81.81595540046692
18	200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	17999	74.4945	22.45103421893967	90.03106	-37.11251	0.21493865966796874	86.20705580711365
19	180.66666666666666	20.717679632356475	200.0	147.0	92.4	40.893029280673254	122.0	12.0	180.66666666666666	92.4	18999	76.803640625	22.231363683993838	91.57176	-37.229332	0.24892658996582032	90.57243943214417
20	151.5	57.8323727105618	200.0	40.0	166.8	18.192306334426785	189.0	142.0	151.5	166.8	19999	77.67121875	22.63721148352862	93.24267	-48.1824	0.24662222290039063	94.95636463165283
21	200.0	0.0	200.0	200.0	136.4	19.774732338580463	156.0	100.0	200.0	136.4	20999	79.1431875	23.455441799292547	95.65907	-38.762093	0.26129742431640623	99.2614049911499
22	200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	21999	80.5194375	23.558924795075008	96.97397	-31.42556	0.22505612182617188	104.20586681365967
23	200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	22999	81.7416171875	23.217064037039655	96.52705	-42.905537	0.21783242797851562	110.18897771835327
24	193.0	14.0	200.0	165.0	200.0	0.0	200.0	200.0	193.0	200.0	23999	82.47359375	23.053822893394493	96.9611	-41.5038	0.20735873413085937	115.1731390953064
25	200.0	0.0	200.0	200.0	173.4	38.861806945412354	200.0	100.0	200.0	173.4	24999	83.290953125	22.86869380288258	97.372055	-39.630615	0.21059542846679688	120.08827924728394
26	173.66666666666666	58.88312156474326	200.0	42.0	200.0	0.0	200.0	200.0	173.66666666666666	200.0	25999	84.454296875	22.607594133388012	98.9893	-56.749855	0.23844171142578124	124.98887729644775
27	179.5	45.83939353874569	200.0	77.0	200.0	0.0	200.0	200.0	179.5	200.0	26999	85.718015625	22.11308082900255	100.27903	-30.792658	0.23922332763671875	130.90701484680176
28	172.33333333333334	61.86454562355028	200.0	34.0	100.8	81.07132758410954	200.0	31.0	172.33333333333334	100.8	27999	87.4531875	21.873296362231276	100.77298	-31.13278	0.2060445251464844	135.84465980529785
29	162.16666666666666	60.65865152810713	200.0	37.0	200.0	0.0	200.0	200.0	162.16666666666666	200.0	28999	89.41978125	20.483335452264605	100.83434	-37.17282	0.24688467407226564	140.62791895866394
30	171.33333333333334	61.89147770913887	200.0	33.0	200.0	0.0	200.0	200.0	171.33333333333334	200.0	29999	90.7529375	19.236457899000012	100.98792	-17.077036	0.2131149444580078	145.73229146003723
31	168.4	63.199998763844924	200.0	42.0	187.4	25.20000174386155	200.0	137.0	168.4	187.4	30999	91.603578125	18.96862376399511	102.48776	-36.906082	0.23351040649414062	151.32065558433533
32	200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	31999	92.3935	18.85114966653228	102.72399	-46.940735	0.2078912353515625	156.1683349609375
33	200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	32999	92.8253046875	18.608468334336386	103.3388	-52.37948	0.2440126953125	160.95462226867676
34	200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	33999	94.082703125	18.85608240727644	105.69637	-37.30898	0.2166127166748047	166.13332533836365
35	200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	34999	96.568484375	17.502350734972715	107.557884	-39.34352	0.2437464599609375	172.29370021820068
36	197.4	5.199999941312349	200.0	187.0	200.0	0.0	200.0	200.0	197.4	200.0	35999	98.4346015625	17.459963129972525	110.124084	-32.88705	0.21575161743164062	178.4129388332367
37	191.83333333333334	18.261222001933668	200.0	151.0	200.0	0.0	200.0	200.0	191.83333333333334	200.0	36999	99.862453125	17.284897671088483	113.51015	-38.98215	0.25371006774902344	184.0558853149414
38	145.33333333333334	78.16790904973942	200.0	16.0	200.0	0.0	200.0	200.0	145.33333333333334	200.0	37999	101.2547421875	16.825681635523715	116.67497	-32.833687	0.22180604553222658	189.57582712173462
39	131.125	88.92052279985762	200.0	15.0	192.0	8.461678320522472	200.0	176.0	131.125	192.0	38999	102.06471875	17.290084766998685	120.32233	-39.203712	0.24475643920898438	195.60272192955017
40	114.0	83.59292899389145	200.0	13.0	124.8	92.10298244356694	200.0	11.0	114.0	124.8	39999	102.97996875	18.017742991285008	137.64674	-45.281975	0.26397509765625	200.50895857810974
41	195.2	9.600000190734862	200.0	176.0	200.0	0.0	200.0	200.0	195.2	200.0	40999	103.806984375	18.847853823446318	148.7105	-30.248476	0.27378460693359374	205.7356448173523
42	200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	41999	105.2416171875	18.81188288024354	164.2167	-38.41142	0.2751342468261719	211.07203340530396
43	160.66666666666666	60.4529210548382	200.0	41.0	200.0	0.0	200.0	200.0	160.66666666666666	200.0	42999	106.402609375	18.927598896849013	172.42451	-29.35157	0.2525303192138672	216.91215777397156
44	200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	43999	106.5894921875	19.06273770343599	174.73256	-47.108803	0.2646568603515625	221.93498373031616
45	144.71428571428572	66.91298153732417	200.0	33.0	104.2	58.8842946484884	200.0	14.0	144.71428571428572	104.2	44999	106.53903125	18.848376919512194	180.53629	-33.388237	0.24783152770996095	227.7252025604248
46	80.15384615384616	65.92052050794548	200.0	14.0	48.6	41.200000474059465	100.0	12.0	80.15384615384616	48.6	45999	106.17003125	19.788546245239946	202.04051	-33.08707	0.3120095520019531	232.4087257385254
47	37.74074074074074	32.28299950890045	101.0	11.0	28.6	33.20602413813644	95.0	11.0	37.74074074074074	28.6	46999	106.471046875	20.75215802031201	204.14017	-44.485554	0.38653924560546876	236.96876883506775
48	52.2	45.7073315371834	172.0	13.0	17.4	4.079215723092779	25.0	14.0	52.2	17.4	47999	107.9661328125	22.134171827741827	206.83817	-60.005085	0.43122393798828124	241.21311259269714
49	22.046511627906977	22.983262995209724	100.0	10.0	64.2	39.009740620532845	100.0	16.0	22.046511627906977	64.2	48999	110.552984375	22.350830521481747	205.7778	-50.375423	0.5246884765625	245.87512850761414
50	66.13333333333334	44.36945681340562	120.0	11.0	54.4	33.99176284640516	93.0	13.0	66.13333333333334	54.4	49999	116.365703125	23.95631310323022	204.82976	-32.08491	0.5984268188476562	250.2135031223297
51	91.72727272727273	26.261243702644	110.0	12.0	89.8	16.93989330992266	110.0	71.0	91.72727272727273	89.8	50999	123.0164140625	25.082097699355213	201.39034	-36.393757	0.7171417846679687	254.5683786869049
52	109.0	37.351186207550505	200.0	78.0	200.0	0.0	200.0	200.0	109.0	200.0	51999	129.717765625	25.823049297091156	198.72467	-32.56029	0.7233228759765625	258.86720728874207
53	106.3	54.74130210590537	200.0	12.0	72.8	2.9257476112051526	77.0	68.0	106.3	72.8	52999	133.26046875	25.464710876033916	198.75464	-60.594193	0.669961181640625	263.806325674057
54	112.875	51.10390762945628	200.0	69.0	200.0	0.0	200.0	200.0	112.875	200.0	53999	135.23665625	25.142861810064502	197.41974	-59.930958	0.6629298095703124	269.3571066856384
55	134.0	70.02321043768274	200.0	28.0	51.2	35.26698117130952	94.0	15.0	134.0	51.2	54999	134.435	25.04773193325096	197.06306	-68.547516	0.7738810424804687	274.650349855423
56	124.5	55.62823024328565	200.0	32.0	83.6	35.51112556738381	108.0	13.0	124.5	83.6	55999	135.83934375	24.661119449449167	190.5056	-31.176613	0.7140965576171875	279.2892997264862
57	96.27272727272727	23.257807370712783	110.0	24.0	90.2	38.13869374975367	112.0	14.0	96.27272727272727	90.2	56999	138.429109375	24.742837347402176	191.47896	-43.42868	0.7488440551757812	283.92840242385864
58	105.77777777777777	8.189122887691017	117.0	86.0	125.4	4.4988886838472055	133.0	119.0	105.77777777777777	125.4	57999	140.51921875	23.717780777298707	184.32677	-34.487545	0.8342527465820313	289.4787471294403
59	105.0	9.838699100999074	115.0	83.0	200.0	0.0	200.0	200.0	105.0	200.0	58999	141.572765625	21.995459048403603	174.04918	-32.16727	0.8378682250976562	294.939031124115
60	99.4	31.925538978418203	134.0	10.0	94.8	13.991425858667649	108.0	71.0	99.4	94.8	59999	142.57115625	19.708722688190626	166.81897	-44.595463	0.8850533447265625	299.70213317871094
61	189.8	20.400000239353552	200.0	149.0	200.0	0.0	200.0	200.0	189.8	200.0	60999	140.83721875	17.797586739499263	160.08763	-33.446617	0.7879478149414062	305.00612568855286
62	100.0	68.84765791223403	200.0	11.0	48.8	22.65744932170488	90.0	24.0	100.0	48.8	61999	137.972421875	16.66700614237602	152.76434	-42.427418	0.6478255004882812	309.91018533706665
63	47.666666666666664	32.56251713736867	104.0	14.0	99.2	27.12489649317809	144.0	59.0	47.666666666666664	99.2	62999	134.79190625	17.37807706565948	151.28517	-43.667664	0.7676448364257813	314.72584557533264
64	45.56521739130435	32.95824258172888	95.0	11.0	51.2	36.05773094549212	97.0	15.0	45.56521739130435	51.2	63999	132.8445625	18.73886169168234	151.18503	-60.641617	0.8480631103515625	319.4451940059662
65	80.45454545454545	27.85796367135927	107.0	23.0	22.6	9.748846210778291	41.0	13.0	80.45454545454545	22.6	64999	131.919328125	18.643199162160982	148.8637	-56.083088	0.7738391723632813	323.50475096702576
66	48.86363636363637	40.32740430962887	138.0	11.0	80.2	14.218298413158482	98.0	66.0	48.86363636363637	80.2	65999	129.35071875	19.545674073820017	146.33635	-55.326168	0.7690460815429687	328.0514233112335
67	68.13333333333334	22.908125775857354	103.0	18.0	200.0	0.0	200.0	200.0	68.13333333333334	200.0	66999	127.3748828125	19.66030582162953	140.98799	-54.27357	0.7780615844726563	334.13527846336365
68	50.89473684210526	27.94146989926584	96.0	12.0	70.2	18.475930552089253	91.0	44.0	50.89473684210526	70.2	67999	125.3989375	18.56959881095981	137.37965	-62.591278	0.7850934448242187	339.4511821269989
69	92.72727272727273	45.670939278739084	200.0	20.0	200.0	0.0	200.0	200.0	92.72727272727273	200.0	68999	122.058890625	19.56776287034366	138.48648	-61.977654	0.7782181396484374	345.7376971244812
70	200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	69999	120.509640625	19.3763676936623	142.87141	-61.223072	0.6924649658203125	351.34006237983704
71	200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	70999	119.695359375	18.941624963291826	144.62163	-57.672	0.757272705078125	357.15149545669556
72	147.71428571428572	82.67270208262735	200.0	16.0	162.6	74.80000156667779	200.0	13.0	147.71428571428572	162.6	71999	118.076328125	19.19381410767542	143.82991	-67.96149	0.7326779174804687	363.10972237586975
73	129.85714285714286	84.58373321216759	200.0	10.0	200.0	0.0	200.0	200.0	129.85714285714286	200.0	72999	116.51903125	18.051400568930934	142.94733	-61.72269	0.7425689086914062	368.2995057106018
74	180.2	39.59999950678662	200.0	101.0	200.0	0.0	200.0	200.0	180.2	200.0	73999	115.2631875	17.8520648315538	152.0021	-70.09863	0.7119915771484375	374.50081181526184
75	196.0	8.94427190999916	200.0	176.0	200.0	0.0	200.0	200.0	196.0	200.0	74999	115.450671875	18.85194204186932	160.37407	-78.17331	0.6939571533203125	381.2614686489105
76	200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	75999	117.934625	19.262736046574485	169.4962	-69.639084	0.8259346923828125	387.9608554840088
77	82.0909090909091	67.14496539459164	200.0	18.0	200.0	0.0	200.0	200.0	82.0909090909091	200.0	76999	118.7270625	18.074241858235712	165.40198	-66.22299	0.8564822998046875	394.5371813774109
78	169.66666666666666	67.82739611736912	200.0	18.0	163.0	74.0	200.0	15.0	169.66666666666666	163.0	77999	118.8340078125	16.87593330752406	156.3607	-62.55729	0.7558809814453125	400.06282448768616
79	200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	78999	117.700984375	16.75501510742381	149.89651	-42.586517	0.73622998046875	405.19628643989563
80	170.16666666666666	39.7090123783317	200.0	101.0	151.4	59.543599440871894	200.0	76.0	170.16666666666666	151.4	79999	117.34128125	16.647364656305214	146.71967	-76.154274	0.7319213256835938	410.958473443985
81	63.1764705882353	56.77741304738127	200.0	10.0	30.4	18.347751639761615	58.0	10.0	63.1764705882353	30.4	80999	118.20328125	16.024015180347277	138.95407	-72.02446	0.8059837036132812	416.8411719799042
82	58.642857142857146	57.55942193569554	200.0	14.0	69.2	26.384845244832306	102.0	21.0	58.642857142857146	69.2	81999	118.899390625	15.719000246516952	133.14453	-72.84784	0.7451942138671875	421.0540843009949
83	84.3076923076923	62.13556248236593	200.0	12.0	42.2	46.47321767359669	135.0	15.0	84.3076923076923	42.2	82999	117.8705859375	15.731283522014344	133.57898	-71.150986	0.7978784790039063	425.59265661239624
84	116.77777777777777	68.76170986134329	200.0	12.0	105.6	58.844199746024245	200.0	14.0	116.77777777777777	105.6	83999	117.96178125	15.862307918458777	130.15489	-49.399307	0.7309520263671875	429.6896994113922
85	127.75	67.57727058708423	200.0	39.0	79.0	32.58220373148507	99.0	14.0	127.75	79.0	84999	116.34975	14.719478485157007	127.30789	-55.3808	0.650400146484375	433.97430992126465
86	119.57142857142857	61.455808563959195	200.0	12.0	89.2	13.407460518628938	106.0	74.0	119.57142857142857	89.2	85999	115.5224140625	14.213738952154706	128.11475	-57.940956	0.68059814453125	438.3248085975647
87	162.71428571428572	35.76396572556856	200.0	88.0	154.4	6.651315384034246	160.0	142.0	162.71428571428572	154.4	86999	115.464328125	12.765879816918222	131.21902	-82.019226	0.722651611328125	443.6063666343689
88	145.66666666666666	15.216949836850997	177.0	134.0	200.0	0.0	200.0	200.0	145.66666666666666	200.0	87999	115.6034296875	12.019137084250266	145.71094	-46.31427	0.74743017578125	448.3248677253723
89	200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	88999	118.0729296875	12.782172032757186	163.84732	-86.71594	0.7977507934570313	453.18976640701294
90	200.0	0.0	200.0	200.0	197.2	5.599999782017295	200.0	186.0	200.0	197.2	89999	121.738734375	15.651539960176443	174.29968	-92.01551	0.9609749755859375	457.95597672462463
91	67.70588235294117	78.4255132040813	200.0	13.0	79.0	46.208224376186536	120.0	22.0	67.70588235294117	79.0	90999	125.5998125	17.591244270943427	184.00578	-95.02564	0.968799072265625	462.31784868240356
92	36.0	44.16689128424465	192.0	11.0	83.2	24.846730363684173	101.0	34.0	36.0	83.2	91999	128.97378125	19.33485680060755	195.53346	-60.61698	0.96935986328125	466.6927795410156
93	80.41666666666667	31.841949521801556	110.0	16.0	67.4	3.1999999046325667	70.0	63.0	80.41666666666667	67.4	92999	133.7226875	19.97603094961559	198.59258	-86.53339	1.043767822265625	471.2884337902069
94	52.578947368421055	26.870677436958164	99.0	13.0	39.0	17.765134392961965	58.0	16.0	52.578947368421055	39.0	93999	136.816546875	19.374540317127526	195.56686	-61.04832	1.089778564453125	475.3662819862366
95	53.36842105263158	35.55308993529773	106.0	13.0	64.8	8.0099936054028	77.0	52.0	53.36842105263158	64.8	94999	139.932578125	18.723079006936867	195.40659	-93.440414	1.06740966796875	479.59839129447937
96	44.31818181818182	32.97572901142941	102.0	11.0	31.6	17.93989939309513	55.0	16.0	44.31818181818182	31.6	95999	140.881875	17.22704450856269	190.84991	-91.06082	1.048220703125	483.79714155197144
97	33.54838709677419	25.685239726709742	97.0	12.0	33.4	27.44157412092781	86.0	11.0	33.54838709677419	33.4	96999	142.3903125	15.087880069777862	193.03937	-68.97561	1.0716424560546876	488.0762424468994
98	41.875	38.624595467137254	130.0	10.0	116.0	3.40587727318528	121.0	111.0	41.875	116.0	97999	143.05684375	13.886009145899335	208.45502	-100.23708	1.24649853515625	492.67720103263855
99	70.07142857142857	53.925166194525005	200.0	10.0	25.4	17.071612150182244	59.0	12.0	70.07142857142857	25.4	98999	142.20409375	13.165758737156017	228.93466	-73.80273	1.0809241943359376	496.7053921222687
100	70.3076923076923	47.95251620192786	131.0	13.0	74.8	65.81610567045881	200.0	19.0	70.3076923076923	74.8	99999	141.216234375	12.775181016330063	250.24489	-25.269768	1.1761793212890626	501.50873494148254
