Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	18.384615384615383	6.934179366520549	38.0	9.0	18.384615384615383	-0.01991122055053711	0.016197715790740863	0.016706578	-0.061624784	500	-8.403277397155762	147.33778381347656	-0.07590961456298828	-98.3330307006836	0.6917831301689148	0.008827051147818565	0.020000001415610313	79.0	2.1889195442199707
1	18.615384615384617	7.338397253917922	38.0	9.0	18.615384615384617	7.3708544921875	0.2324623044537401	7.625944	6.3363714	1000	-2.920830488204956	54.31275939941406	-0.07601046562194824	-19.527725219726562	0.6807459592819214	0.015453645028173923	0.328000009059906	17.0	3.3821566104888916
2	22.428571428571427	7.985531029441475	39.0	12.0	22.428571428571427	10.2318359375	2.2303644075856752	11.875928	-2.539371	1500	-2.4177098274230957	56.927490234375	-0.13100409507751465	-11.93011474609375	0.6897656917572021	0.01753184385597706	0.2200000137090683	13.0	4.5498046875
3	26.210526315789473	9.350367172594643	44.0	11.0	26.210526315789473	13.403025390625	2.532971058423783	14.8184805	0.881255	2000	-1.0449646711349487	64.68006896972656	-0.13010358810424805	-2.6531448364257812	0.6781045198440552	0.01582367718219757	0.18200001120567322	17.0	5.4847939014434814
4	45.4	28.883213793871693	104.0	16.0	45.4	13.801203125	2.504394185102457	15.314623	-0.8999234	2500	-7.6399827003479	416.3176574707031	-0.25769805908203125	-148.630615234375	0.6546097993850708	0.0030708948615938425	0.2800000011920929	79.0	6.652232885360718
5	83.0	35.54340070017687	145.0	38.0	83.0	24.07217578125	2.274830543998003	24.662685	-2.2645872	3000	-7.166283130645752	533.46337890625	-0.1838364601135254	-172.07431030273438	0.6264539957046509	0.006402371916919947	0.1380000114440918	79.0	7.781708002090454
6	98.0	38.62641583165593	147.0	39.0	98.0	32.31145703125	3.0568813253870357	33.156525	10.272664	3500	-5.178868770599365	448.9122619628906	-0.24472856521606445	-86.49142456054688	0.6038346290588379	0.011854114010930061	0.1720000058412552	79.0	9.428507089614868
7	143.0	28.39013913315678	183.0	120.0	143.0	34.5435	13.970401188763335	39.199173	-30.439926	4000	-7.828299522399902	583.7990112304688	-0.07703399658203125	-374.7542724609375	0.5659262537956238	0.01657145284116268	0.1900000125169754	7.0	10.376850366592407
8	195.5	4.5	200.0	191.0	195.5	46.9410625	3.7064349658735414	48.28113	31.554096	4500	-5.888508319854736	572.9223022460938	-0.22120189666748047	-84.62100219726562	0.5629592537879944	-0.006935629993677139	0.14800000190734863	79.0	11.595118045806885
9	200.0	0.0	200.0	200.0	200.0	52.49809375	3.323939856837816	53.713478	35.954147	5000	-4.792945384979248	517.0643310546875	-0.11545038223266602	-285.12652587890625	0.5459590554237366	0.0030128895305097103	0.03200000151991844	79.0	12.956597566604614
10	164.0	26.733250207684563	200.0	136.0	164.0	54.7195859375	7.600247734449187	60.155006	40.88127	5500	-0.9373112916946411	371.6286315917969	-0.0978858470916748	-219.5436553955078	0.5553202033042908	0.0038915984332561493	0.024000000208616257	79.0	14.652624607086182
11	190.0	10.0	200.0	180.0	190.0	53.02804296875	13.270880952295517	62.714207	16.244335	6000	-3.5820701122283936	172.2842559814453	-0.05330085754394531	-92.1285629272461	0.5527433156967163	0.007229712791740894	0.04400000348687172	79.0	15.945241689682007
