Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-1313.54521484375	347.87743890629065	-637.2548	-1756.961	200.0	-0.0573250732421875	0.05994521938412694	0.09801216	-0.14339703	4000	147.68226623535156	183496.125	-0.6362762451171875	-6452.265625	0.9189385771751404	0.009974724613130093	0.06025000289082527	79.0	7.714242458343506
1	-1457.6294921875	291.8211031608235	-949.11633	-1871.933	200.0	-8.8309599609375	0.9009702750498695	-4.968976	-9.546203	8000	159.59925842285156	208439.28125	-1.0065765380859375	-6266.21875	0.9291666746139526	0.015086619183421135	0.09675000607967377	49.0	15.106419801712036
2	-1184.3943359375	332.74109680050043	-654.0907	-1788.6838	200.0	-16.311251953125	0.516925384390575	-14.139162	-16.818705	12000	125.89909362792969	135188.390625	-0.665313720703125	-3505.078125	0.9541748762130737	0.011084100231528282	0.06225000321865082	79.0	23.322198152542114
3	-1140.05546875	240.45771457784423	-809.10767	-1687.0535	200.0	-21.93470703125	0.12436703066957061	-21.46843	-22.076523	16000	119.0516128540039	117160.546875	-0.46492767333984375	-2992.1796875	0.97861248254776	0.007493619341403246	0.04200000315904617	79.0	30.39940357208252
4	-1216.253125	390.6470273789371	-779.6788	-1879.6362	200.0	-26.95280859375	0.06300728350119882	-26.754604	-27.020664	20000	125.9778823852539	141109.140625	-0.59228515625	-3309.109375	0.9889796376228333	0.009087339974939823	0.05675000324845314	79.0	37.35077738761902
5	-1330.14384765625	373.4058616304784	-695.4952	-1856.1744	200.0	-32.208302734375	0.032116821242433764	-32.05072	-32.232807	24000	136.51425170898438	160906.65625	-0.79156494140625	-3799.5	0.9984186887741089	0.01194323506206274	0.07400000095367432	79.0	44.44627404212952
6	-1310.240234375	410.7212710586098	-629.0193	-1840.8188	200.0	-37.77025	0.028708485608926616	-37.623142	-37.792	28000	133.01797485351562	158545.0625	-0.42987060546875	-3606.5625	1.0253838300704956	0.008896727114915848	0.05375000089406967	79.0	51.54511523246765
7	-1279.48056640625	337.5249064883953	-754.7413	-1883.1476	200.0	-43.179484375	0.030944037854437764	-43.075172	-43.204975	32000	128.08486938476562	142130.765625	-0.8694915771484375	-3360.53125	1.0342124700546265	0.015013255178928375	0.10225000232458115	69.0	58.68242073059082
8	-1365.7501953125	359.80498189991755	-883.72375	-1883.898	200.0	-48.4103515625	0.015933055631992116	-48.34755	-48.422062	36000	135.38772583007812	159069.796875	-0.3235015869140625	-3671.09375	1.0569909811019897	0.0064458539709448814	0.03750000149011612	79.0	66.11263465881348
9	-1353.34560546875	316.4833032720684	-964.1873	-1890.3729	200.0	-53.83125	0.011506081134276017	-53.781693	-53.840427	40000	132.49948120117188	149838.90625	-0.777557373046875	-3490.765625	1.0674192905426025	0.015102767385542393	0.07100000232458115	70.0	73.39490723609924
10	-1170.1560546875	331.53093747039657	-857.16956	-1832.4521	200.0	-59.12134375	0.012650279061251175	-59.06631	-59.133976	44000	110.211669921875	108789.828125	-0.32016754150390625	-2462.9921875	1.0936511754989624	0.006605951115489006	0.04625000059604645	79.0	80.19663000106812
11	-1233.01865234375	352.45246133344	-752.24634	-1854.9175	200.0	-63.634265625	0.011936017428701168	-63.577145	-63.644356	48000	115.235595703125	118994.71875	-0.48035430908203125	-2640.328125	1.1014879941940308	0.007020189426839352	0.04975000396370888	79.0	87.52451491355896
12	-1265.69228515625	327.19323419043985	-715.68616	-1758.8065	200.0	-68.2844375	0.007054776462572757	-68.25032	-68.29031	52000	116.78703308105469	120116.8671875	-0.811126708984375	-2731.8984375	1.1137303113937378	0.014044971205294132	0.09325000643730164	79.0	94.1342875957489
13	-1186.3099609375	284.41133284382323	-865.1753	-1863.0577	200.0	-73.0461640625	0.005946878004048281	-73.023865	-73.05168	56000	106.81719970703125	100204.203125	-0.5898818969726562	-2333.1171875	1.139350414276123	0.00881001353263855	0.05250000208616257	79.0	100.95243430137634
14	-1155.65703125	248.38455567929338	-786.3783	-1663.6648	200.0	-77.5028203125	0.0051384750960692055	-77.478676	-77.507576	60000	101.95712280273438	90306.3359375	-0.5115814208984375	-2135.2578125	1.1558340787887573	0.010565511882305145	0.057750001549720764	79.0	109.02719688415527
15	-1113.2345703125	290.643649939234	-645.4302	-1800.8119	200.0	-81.7939765625	0.004947431983966943	-81.77775	-81.799	64000	95.66825866699219	84006.9296875	-0.6332855224609375	-1900.203125	1.1686832904815674	0.009444036521017551	0.061250001192092896	79.0	116.28977656364441
16	-1050.508984375	251.21081784031514	-771.00916	-1752.7678	200.0	-85.8876484375	0.0060503054727919685	-85.859344	-85.8936	68000	86.33820343017578	67446.15625	-0.6156768798828125	-1553.0234375	1.1833127737045288	0.010927582159638405	0.06700000166893005	79.0	122.94967651367188
17	-1160.52685546875	233.85791626541103	-750.73553	-1568.0624	200.0	-89.647875	0.0033885288758021335	-89.62926	-89.65085	72000	96.91654205322266	81670.7109375	-0.48242950439453125	-1936.1171875	1.2058597803115845	0.00836394727230072	0.06000000238418579	79.0	129.93758916854858
18	-1139.75361328125	260.2048351779805	-763.0908	-1550.6628	200.0	-93.8366171875	0.004699694546769639	-93.81732	-93.84076	76000	93.86837005615234	78720.640625	-0.7776947021484375	-1897.0703125	1.2151482105255127	0.01510669570416212	0.09225000441074371	73.0	136.96274709701538
19	-1164.00087890625	259.8540215197756	-751.88214	-1714.9708	200.0	-98.053421875	0.0025352915858512606	-98.04424	-98.05584	80000	94.61698150634766	79745.28125	-0.3137359619140625	-1938.1171875	1.2349538803100586	0.006329058203846216	0.0430000014603138	79.0	144.11946606636047
20	-1157.94013671875	248.96106623325664	-855.09686	-1727.4794	200.0	-102.34315625	0.002734255021732827	-102.33272	-102.345634	84000	92.7673110961914	77082.2109375	-0.7542266845703125	-1882.4921875	1.2456140518188477	0.012583228759467602	0.0767500028014183	79.0	151.5652437210083
21	-1003.0837890625	131.32595421317143	-763.32544	-1332.4124	200.0	-106.6106875	0.0031026051171763316	-106.60129	-106.61461	88000	74.2474365234375	48598.05859375	-0.23093414306640625	-1241.96875	1.2690287828445435	0.006891469471156597	0.03850000351667404	79.0	158.4727578163147
22	-1051.17548828125	224.7869129864993	-804.6768	-1852.0162	200.0	-110.161828125	0.0024661739020309507	-110.15455	-110.164825	92000	77.5105209350586	56496.72265625	-0.4485015869140625	-1302.0859375	1.2779408693313599	0.009146556258201599	0.04675000160932541	79.0	165.77947449684143
23	-1089.9279296875	255.3465782030376	-776.03406	-1710.2369	200.0	-113.78890625	0.0021674425328478226	-113.78203	-113.79112	96000	81.68087768554688	63391.34765625	-0.45284271240234375	-1514.0078125	1.2871594429016113	0.010709837079048157	0.07000000029802322	79.0	173.03716921806335
24	-1093.48154296875	284.02517494053234	-814.9447	-1736.9088	200.0	-117.7342578125	0.0020344748939798854	-117.727234	-117.73651	100000	80.14889526367188	62342.6015625	-0.6610946655273438	-1483.1875	1.305753469467163	0.01261056400835514	0.06424999982118607	79.0	179.73955988883972
25	-1049.85498046875	254.67052244026988	-748.8339	-1516.0271	200.0	-121.69715625	0.0019508880679943764	-121.69217	-121.69942	104000	73.46955108642578	52145.07421875	-0.6212158203125	-1253.015625	1.3262985944747925	0.013719115406274796	0.08250000327825546	79.0	187.08929252624512
26	-1081.125390625	226.84486714492792	-750.34247	-1612.5365	200.0	-125.3956328125	0.0012723247348322968	-125.39049	-125.39701	108000	76.23600006103516	55658.6953125	-0.4886322021484375	-1354.22265625	1.345546007156372	0.010143423452973366	0.06650000065565109	79.0	194.44940900802612
